Fájlnév;Hiba típus;Részletek
._30005.pdf;OCR_FAILED;Nem olvasható szöveg
._30014.pdf;OCR_FAILED;Nem olvasható szöveg
._30017.pdf;OCR_FAILED;Nem olvasható szöveg
._30018.pdf;OCR_FAILED;Nem olvasható szöveg
._30066.pdf;OCR_FAILED;Nem olvasható szöveg
._30071.pdf;OCR_FAILED;Nem olvasható szöveg
._30105.pdf;OCR_FAILED;Nem olvasható szöveg
._30109.pdf;OCR_FAILED;Nem olvasható szöveg
._30111.pdf;OCR_FAILED;Nem olvasható szöveg
._30140.pdf;OCR_FAILED;Nem olvasható szöveg
._30141.pdf;OCR_FAILED;Nem olvasható szöveg
._30163.pdf;OCR_FAILED;Nem olvasható szöveg
._30169.pdf;OCR_FAILED;Nem olvasható szöveg
._30242.pdf;OCR_FAILED;Nem olvasható szöveg
._30304.pdf;OCR_FAILED;Nem olvasható szöveg
._30344.pdf;OCR_FAILED;Nem olvasható szöveg
._30352.pdf;OCR_FAILED;Nem olvasható szöveg
._30475.pdf;OCR_FAILED;Nem olvasható szöveg
._30476.pdf;OCR_FAILED;Nem olvasható szöveg
._30494.pdf;OCR_FAILED;Nem olvasható szöveg
._30499.pdf;OCR_FAILED;Nem olvasható szöveg
._30519.pdf;OCR_FAILED;Nem olvasható szöveg
._30537.pdf;OCR_FAILED;Nem olvasható szöveg
._30538.pdf;OCR_FAILED;Nem olvasható szöveg
._30552.pdf;OCR_FAILED;Nem olvasható szöveg
._30566.pdf;OCR_FAILED;Nem olvasható szöveg
._30567.pdf;OCR_FAILED;Nem olvasható szöveg
._30568.pdf;OCR_FAILED;Nem olvasható szöveg
._30569.pdf;OCR_FAILED;Nem olvasható szöveg
._30571.pdf;OCR_FAILED;Nem olvasható szöveg
._30572.pdf;OCR_FAILED;Nem olvasható szöveg
._30573.pdf;OCR_FAILED;Nem olvasható szöveg
._30576.pdf;OCR_FAILED;Nem olvasható szöveg
._30579.pdf;OCR_FAILED;Nem olvasható szöveg
._30617.pdf;OCR_FAILED;Nem olvasható szöveg
._30632.pdf;OCR_FAILED;Nem olvasható szöveg
._30633.pdf;OCR_FAILED;Nem olvasható szöveg
._30634.pdf;OCR_FAILED;Nem olvasható szöveg
._30670.pdf;OCR_FAILED;Nem olvasható szöveg
._30689.pdf;OCR_FAILED;Nem olvasható szöveg
._30690.pdf;OCR_FAILED;Nem olvasható szöveg
._30701.pdf;OCR_FAILED;Nem olvasható szöveg
._30705.pdf;OCR_FAILED;Nem olvasható szöveg
._30710.pdf;OCR_FAILED;Nem olvasható szöveg
._30716.pdf;OCR_FAILED;Nem olvasható szöveg
._30728.pdf;OCR_FAILED;Nem olvasható szöveg
._30732.pdf;OCR_FAILED;Nem olvasható szöveg
._30739.pdf;OCR_FAILED;Nem olvasható szöveg
._30740.pdf;OCR_FAILED;Nem olvasható szöveg
._30741.pdf;OCR_FAILED;Nem olvasható szöveg
